"ID","Age","Sex","Group","Home_Cage","Weight"
"G7_6",19,"Female","KO+Saline","C11219462",8.3
"G7_2",20,"Male","KO+MTX","C11219462",8
"G7_4",20,"Male","WT+Saline","C11219462",8.2
"G7_6",20,"Female","KO+Saline","C11219462",8.4
"G7_2",21,"Male","KO+MTX","C11219462",8.6
"G7_4",21,"Male","WT+Saline","C11219462",9.3
"G7_6",21,"Female","KO+Saline","C11219462",9.1
"G7_2",22,"Male","KO+MTX","C11219462",9.4
"G7_4",22,"Male","WT+Saline","C11219462",9.9
"G7_6",22,"Female","KO+Saline","C11219462",9.8
"G7_2",23,"Male","KO+MTX","C11219462",10.2
"G7_4",23,"Male","WT+Saline","C11219462",10.9
"G7_6",23,"Female","KO+Saline","C11219462",10.8
"G7_2",24,"Male","KO+MTX","C11219462",10.9
"G7_4",24,"Male","WT+Saline","C11219462",11.1
"G7_6",24,"Female","KO+Saline","C11219462",12.3
"G7_2",25,"Male","KO+MTX","C11219462",11.7
"G7_4",25,"Male","WT+Saline","C11219462",13.1
"G7_6",25,"Female","KO+Saline","C11219462",12.5
"G7_2",26,"Male","KO+MTX","C11219462",12.2
"G7_4",26,"Male","WT+Saline","C11219462",13.4
"G7_6",26,"Female","KO+Saline","C11219462",13.2
"G7_2",27,"Male","KO+MTX","C11219462",13.1
"G7_4",27,"Male","WT+Saline","C11219462",14.1
"G7_6",27,"Female","KO+Saline","C11219462",13.7
"G7_2",35,"Male","KO+MTX","C11219462",17.6
"G7_4",35,"Male","WT+Saline","C11219462",18.9
"G7_6",35,"Female","KO+Saline","C11219462",16.2
"G7_2",41,"Male","KO+MTX","C11219462",19.6
"G7_4",41,"Male","WT+Saline","C11219462",21.7
"G7_6",41,"Female","KO+Saline","C11219462",16.6
"G7_2",49,"Male","KO+MTX","C11219462",20.5
"G7_4",49,"Male","WT+Saline","C11219462",23.6
"G7_6",49,"Female","KO+Saline","C11219462",18
"G7_2",56,"Male","KO+MTX","C11219462",22.2
"G7_4",56,"Male","WT+Saline","C11219462",25.6
"G7_6",56,"Female","KO+Saline","C11219462",18.3
"G7_2",62,"Male","KO+MTX","C11219462",23.1
"G7_4",62,"Male","WT+Saline","C11219462",26.3
"G7_6",62,"Female","KO+Saline","C11219462",18.7
"G8_1",13,"Male","KO+MTX","C11236225",6.8
"G8_4",13,"Male","WT+MTX","C11236225",6.9
"G8_7",13,"Male","KO+Saline","C11236225",7.1
"G8_1",17,"Male","KO+MTX","C11236225",7.4
"G8_4",17,"Male","WT+MTX","C11236225",7.3
"G8_7",17,"Male","KO+Saline","C11236225",7.5
"G8_1",18,"Male","KO+MTX","C11236225",7.6
"G8_4",18,"Male","WT+MTX","C11236225",7.6
"G8_7",18,"Male","KO+Saline","C11236225",7.9
"G8_1",19,"Male","KO+MTX","C11236225",7.7
"G8_4",19,"Male","WT+MTX","C11236225",7.8
"G8_7",19,"Male","KO+Saline","C11236225",8.4
"G8_1",20,"Male","KO+MTX","C11236225",7.5
"G8_4",20,"Male","WT+MTX","C11236225",7.9
"G8_7",20,"Male","KO+Saline","C11236225",8.7
"G8_1",21,"Male","KO+MTX","C11236225",7.9
"G8_4",21,"Male","WT+MTX","C11236225",8.6
"G8_7",21,"Male","KO+Saline","C11236225",9.3
"G8_1",22,"Male","KO+MTX","C11236225",8.4
"G8_4",22,"Male","WT+MTX","C11236225",9.5
"G8_7",22,"Male","KO+Saline","C11236225",10.2
"G8_1",23,"Male","KO+MTX","C11236225",8.4
"G8_4",23,"Male","WT+MTX","C11236225",10.7
"G8_7",23,"Male","KO+Saline","C11236225",11.5
"G8_1",24,"Male","KO+MTX","C11236225",8.7
"G8_4",24,"Male","WT+MTX","C11236225",11.1
"G8_7",24,"Male","KO+Saline","C11236225",12.6
"G8_1",25,"Male","KO+MTX","C11236225",10.2
"G8_4",25,"Male","WT+MTX","C11236225",12
"G8_7",25,"Male","KO+Saline","C11236225",13.2
"G8_1",26,"Male","KO+MTX","C11236225",12.3
"G8_4",26,"Male","WT+MTX","C11236225",10.7
"G8_7",26,"Male","KO+Saline","C11236225",13.2
"G8_1",27,"Male","KO+MTX","C11236225",11.8
"G8_4",27,"Male","WT+MTX","C11236225",13.8
"G8_7",27,"Male","KO+Saline","C11236225",14.7
"G8_1",35,"Male","KO+MTX","C11236225",17.9
"G8_4",35,"Male","WT+MTX","C11236225",19.1
"G8_7",35,"Male","KO+Saline","C11236225",18.3
"G8_1",41,"Male","KO+MTX","C11236225",20.5
"G8_4",41,"Male","WT+MTX","C11236225",21.1
"G8_7",41,"Male","KO+Saline","C11236225",20.6
"G8_1",49,"Male","KO+MTX","C11236225",22
"G8_4",49,"Male","WT+MTX","C11236225",23.3
"G8_7",49,"Male","KO+Saline","C11236225",21.7
"G8_1",56,"Male","KO+MTX","C11236225",23.4
"G8_4",56,"Male","WT+MTX","C11236225",24.5
"G8_7",56,"Male","KO+Saline","C11236225",22.5
"G8_1",62,"Male","KO+MTX","C11236225",24.3
"G8_4",62,"Male","WT+MTX","C11236225",25.4
"G8_7",62,"Male","KO+Saline","C11236225",23.9
"G9_2",13,"Male","KO+MTX","C11219436",6.6
"G9_3",13,"Male","WT+MTX","C11219436",6.1
"G9_4",13,"Male","KO+Saline","C11219436",6.5
"G9_5",13,"Male","WT+Saline","C11219436",6.1
"G9_2",17,"Male","KO+MTX","C11219436",7.1
"G9_3",17,"Male","WT+MTX","C11219436",6.9
"G9_4",17,"Male","KO+Saline","C11219436",7.1
"G9_5",17,"Male","WT+Saline","C11219436",6.6
"G9_2",18,"Male","KO+MTX","C11219436",7.5
"G9_3",18,"Male","WT+MTX","C11219436",7.3
"G9_4",18,"Male","KO+Saline","C11219436",7.6
"G9_5",18,"Male","WT+Saline","C11219436",7
"G9_2",19,"Male","KO+MTX","C11219436",7.8
"G9_3",19,"Male","WT+MTX","C11219436",7.6
"G9_4",19,"Male","KO+Saline","C11219436",8.3
"G9_5",19,"Male","WT+Saline","C11219436",7.6
"G9_2",20,"Male","KO+MTX","C11219436",8.1
"G9_3",20,"Male","WT+MTX","C11219436",7.6
"G9_4",20,"Male","KO+Saline","C11219436",8.5
"G9_5",20,"Male","WT+Saline","C11219436",7.9
"G9_2",21,"Male","KO+MTX","C11219436",8.6
"G9_3",21,"Male","WT+MTX","C11219436",7.8
"G9_4",21,"Male","KO+Saline","C11219436",9.1
"G9_5",21,"Male","WT+Saline","C11219436",8.7
"G9_2",22,"Male","KO+MTX","C11219436",8.5
"G9_3",22,"Male","WT+MTX","C11219436",7.9
"G9_4",22,"Male","KO+Saline","C11219436",10.2
"G9_5",22,"Male","WT+Saline","C11219436",9.6
"G9_2",23,"Male","KO+MTX","C11219436",8.7
"G9_3",23,"Male","WT+MTX","C11219436",7.6
"G9_4",23,"Male","KO+Saline","C11219436",11.1
"G9_5",23,"Male","WT+Saline","C11219436",10.6
"G9_2",24,"Male","KO+MTX","C11219436",9
"G9_3",24,"Male","WT+MTX","C11219436",7.4
"G9_4",24,"Male","KO+Saline","C11219436",12.5
"G9_5",24,"Male","WT+Saline","C11219436",11.6
"G9_2",25,"Male","KO+MTX","C11219436",9.4
"G9_3",25,"Male","WT+MTX","C11219436",7.5
"G9_4",25,"Male","KO+Saline","C11219436",13.8
"G9_5",25,"Male","WT+Saline","C11219436",13.1
"G9_2",26,"Male","KO+MTX","C11219436",10.4
